timestamp,ip,method,path,status,bytes,user_agent,,
08/Mar/2026:09:29:34 +0000,10.0.0.219,GET,/,200,13046,Mozilla/5.0 (X11,legit,
06/Mar/2026:09:58:57 +0000,10.0.1.130,GET,/api/data,200,10979,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:13:47:33 +0000,10.0.0.190,GET,/login,200,7608,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:14:07:29 +0000,45.63.40.22,GET,/api/reports,200,112,Masscan/1.3,,
07/Mar/2026:08:49:26 +0000,10.0.1.168,GET,/,200,5905,Mozilla/5.0 (iPhone,legit,
03/Mar/2026:19:59:10 +0000,10.0.3.230,GET,/favicon.ico,200,1845,Mozilla/5.0 (iPhone,legit,
02/Mar/2026:12:58:57 +0000,10.0.0.98,GET,/,200,5381,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
02/Mar/2026:01:54:02 +0000,10.0.5.59,POST,/static/main.js,200,12520,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:19:50:51 +0000,10.0.2.155,GET,/api/reports,200,13355,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:03:52:20 +0000,185.176.239.136,GET,/admin/config.php,500,291,sqlmap/1.7 (https://sqlmap.org),,
13/Mar/2026:16:16:03 +0000,45.74.250.5,GET,/api/users,404,301,Masscan/1.3,,
09/Mar/2026:00:53:48 +0000,10.0.1.172,GET,/static/main.js,200,11232,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:15:20:20 +0000,10.0.3.151,GET,/api/reports,200,1163,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:16:25:13 +0000,10.0.0.40,GET,/dashboard,500,8139,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
06/Mar/2026:00:29:07 +0000,10.0.4.76,GET,/static/main.js,200,14559,Mozilla/5.0 (X11,legit,
08/Mar/2026:01:24:38 +0000,10.0.4.23,GET,/api/reports,301,14442,Mozilla/5.0 (iPhone,legit,
03/Mar/2026:07:23:46 +0000,10.0.1.64,GET,/api/data,200,12331,Mozilla/5.0 (X11,legit,
11/Mar/2026:05:41:19 +0000,10.0.2.40,GET,/api/data,200,6730,Mozilla/5.0 (iPhone,legit,
08/Mar/2026:02:10:07 +0000,10.0.4.109,POST,/favicon.ico,200,7514,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:22:38:24 +0000,10.0.3.98,GET,/api/reports,200,7286,Mozilla/5.0 (X11,legit,
02/Mar/2026:16:40:57 +0000,10.0.5.159,GET,/api/users,200,14347,Mozilla/5.0 (X11,legit,
02/Mar/2026:20:34:55 +0000,10.0.4.7,GET,/favicon.ico,200,8613,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
09/Mar/2026:07:39:15 +0000,10.0.4.187,GET,/login,200,8547,Mozilla/5.0 (X11,legit,
09/Mar/2026:15:07:03 +0000,10.0.5.167,GET,/favicon.ico,200,1458,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:01:55:55 +0000,10.0.4.109,GET,/login,200,2836,Mozilla/5.0 (iPhone,legit,
14/Mar/2026:05:45:46 +0000,10.0.3.102,GET,/login,200,455,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
13/Mar/2026:13:46:45 +0000,10.0.3.21,GET,/,200,14268,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:01:58:12 +0000,10.0.2.117,POST,/,200,12363,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
05/Mar/2026:17:51:08 +0000,10.0.3.57,GET,/login,200,6904,Mozilla/5.0 (iPhone,legit,
10/Mar/2026:04:39:08 +0000,10.0.1.168,GET,/static/main.js,200,3555,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:17:25:28 +0000,10.0.4.68,GET,/dashboard,200,7589,Mozilla/5.0 (X11,legit,
10/Mar/2026:03:31:32 +0000,10.0.4.109,GET,/api/reports,200,9550,Mozilla/5.0 (X11,legit,
02/Mar/2026:00:18:25 +0000,10.0.3.57,POST,/dashboard,404,7483,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:00:15:18 +0000,10.0.2.103,POST,/login,200,4763,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:01:21:26 +0000,10.0.5.81,POST,/dashboard,200,3079,Mozilla/5.0 (iPhone,legit,
14/Mar/2026:01:44:13 +0000,10.0.0.221,GET,/dashboard,200,14263,Mozilla/5.0 (X11,legit,
04/Mar/2026:02:16:29 +0000,10.0.0.92,GET,/api/reports,200,9903,Mozilla/5.0 (X11,legit,
05/Mar/2026:12:00:02 +0000,10.0.3.88,GET,/dashboard,200,7333,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
03/Mar/2026:00:44:48 +0000,10.0.5.29,POST,/api/reports,200,12631,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
06/Mar/2026:15:54:52 +0000,10.0.0.187,GET,/api/reports,404,9757,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:13:15:04 +0000,10.0.3.98,POST,/dashboard,404,6786,Mozilla/5.0 (iPhone,legit,
01/Mar/2026:07:20:44 +0000,10.0.4.225,GET,/favicon.ico,200,4544,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
07/Mar/2026:11:33:32 +0000,10.0.4.23,GET,/api/reports,200,280,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
07/Mar/2026:14:06:01 +0000,10.0.0.98,GET,/,200,14826,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:00:46:36 +0000,10.0.3.98,GET,/favicon.ico,200,3854,Mozilla/5.0 (iPhone,legit,
12/Mar/2026:10:08:44 +0000,10.0.4.7,GET,/api/data,200,10029,Mozilla/5.0 (X11,legit,
02/Mar/2026:10:09:13 +0000,10.0.1.222,GET,/index.html,200,11453,Mozilla/5.0 (X11,legit,
02/Mar/2026:00:52:57 +0000,10.0.3.138,GET,/,200,2225,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:05:42:35 +0000,10.0.4.7,GET,/favicon.ico,500,12569,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
13/Mar/2026:04:13:03 +0000,10.0.5.150,GET,/static/main.js,200,5361,Mozilla/5.0 (X11,legit,
10/Mar/2026:21:07:45 +0000,10.0.1.42,GET,/dashboard,200,9992,Mozilla/5.0 (iPhone,legit,
07/Mar/2026:20:20:27 +0000,10.0.5.144,GET,/,301,1167,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
10/Mar/2026:17:15:07 +0000,10.0.3.21,GET,/dashboard,500,6187,Mozilla/5.0 (X11,legit,
09/Mar/2026:02:42:48 +0000,10.0.3.98,GET,/index.html,200,5775,Mozilla/5.0 (X11,legit,
08/Mar/2026:21:36:52 +0000,10.0.5.144,GET,/api/users,500,7002,Mozilla/5.0 (iPhone,legit,
08/Mar/2026:08:10:32 +0000,10.0.3.88,GET,/api/reports,200,693,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:05:09:41 +0000,10.0.3.151,GET,/dashboard,404,10215,Mozilla/5.0 (X11,legit,
11/Mar/2026:08:39:04 +0000,10.0.2.63,GET,/,301,6441,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
03/Mar/2026:23:21:24 +0000,10.0.2.208,GET,/dashboard,200,14394,Mozilla/5.0 (X11,legit,
11/Mar/2026:17:56:12 +0000,10.0.2.208,GET,/static/main.js,200,11475,Mozilla/5.0 (X11,legit,
14/Mar/2026:23:34:48 +0000,10.0.3.24,GET,/dashboard,404,9937,Mozilla/5.0 (X11,legit,
06/Mar/2026:04:59:54 +0000,10.0.4.23,GET,/dashboard,200,9611,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
07/Mar/2026:05:10:02 +0000,10.0.2.155,GET,/api/reports,200,546,Mozilla/5.0 (X11,legit,
01/Mar/2026:02:16:20 +0000,10.0.2.180,GET,/,200,13647,Mozilla/5.0 (iPhone,legit,
08/Mar/2026:09:34:13 +0000,10.0.5.44,GET,/static/main.js,200,4596,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
02/Mar/2026:12:22:24 +0000,10.0.5.81,GET,/static/main.js,404,10777,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:05:10:14 +0000,10.0.3.138,POST,/favicon.ico,500,14005,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:01:54:59 +0000,10.0.5.159,GET,/api/users,200,2779,Mozilla/5.0 (iPhone,legit,
14/Mar/2026:09:45:47 +0000,10.0.1.222,GET,/,404,10461,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:03:11:38 +0000,10.0.2.254,GET,/,200,9829,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:13:16:38 +0000,10.0.1.68,GET,/api/users,200,3514,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
05/Mar/2026:14:34:33 +0000,10.0.3.24,POST,/favicon.ico,200,9768,Mozilla/5.0 (X11,legit,
14/Mar/2026:13:52:06 +0000,10.0.5.84,GET,/index.html,200,12880,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
12/Mar/2026:22:54:01 +0000,10.0.0.56,GET,/api/data,200,8249,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:02:17:37 +0000,10.0.2.40,GET,/index.html,200,6020,Mozilla/5.0 (X11,legit,
03/Mar/2026:01:04:13 +0000,10.0.2.57,GET,/dashboard,200,2035,Mozilla/5.0 (X11,legit,
06/Mar/2026:02:53:34 +0000,10.0.3.57,GET,/dashboard,200,2425,Mozilla/5.0 (X11,legit,
10/Mar/2026:20:37:53 +0000,10.0.4.7,POST,/dashboard,200,4454,Mozilla/5.0 (iPhone,legit,
02/Mar/2026:21:51:00 +0000,10.0.0.190,POST,/,200,7558,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
09/Mar/2026:03:21:30 +0000,10.0.2.253,GET,/dashboard,301,14001,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
13/Mar/2026:10:09:08 +0000,10.0.3.24,GET,/index.html,200,9289,Mozilla/5.0 (iPhone,legit,
07/Mar/2026:14:04:57 +0000,10.0.2.57,GET,/favicon.ico,200,1996,Mozilla/5.0 (X11,legit,
02/Mar/2026:13:39:26 +0000,10.0.1.36,POST,/api/users,200,7520,Mozilla/5.0 (iPhone,legit,
05/Mar/2026:21:40:02 +0000,10.0.5.166,GET,/,404,3407,Mozilla/5.0 (iPhone,legit,
04/Mar/2026:15:33:23 +0000,10.0.2.253,GET,/index.html,200,2407,Mozilla/5.0 (X11,legit,
11/Mar/2026:17:11:35 +0000,10.0.1.64,GET,/static/main.js,200,3504,Mozilla/5.0 (iPhone,legit,
02/Mar/2026:19:04:52 +0000,10.0.0.92,GET,/api/data,200,13119,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
11/Mar/2026:21:11:07 +0000,10.0.3.138,GET,/favicon.ico,200,1806,Mozilla/5.0 (X11,legit,
14/Mar/2026:11:36:21 +0000,10.0.1.68,GET,/favicon.ico,200,3505,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
07/Mar/2026:22:09:44 +0000,10.0.2.103,GET,/static/main.js,200,8028,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:14:11:08 +0000,10.0.1.222,GET,/index.html,200,5250,Mozilla/5.0 (iPhone,legit,
06/Mar/2026:23:13:38 +0000,10.0.2.180,GET,/index.html,200,11238,Mozilla/5.0 (X11,legit,
06/Mar/2026:22:00:32 +0000,10.0.2.91,GET,/api/reports,200,14549,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
04/Mar/2026:13:29:50 +0000,10.0.5.150,POST,/login,200,12129,Mozilla/5.0 (X11,legit,
11/Mar/2026:06:20:48 +0000,10.0.2.253,GET,/static/main.js,200,1368,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
14/Mar/2026:03:26:07 +0000,10.0.5.27,GET,/static/main.js,200,9991,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
01/Mar/2026:17:18:14 +0000,10.0.2.254,GET,/dashboard,200,10874,Mozilla/5.0 (iPhone,legit,
09/Mar/2026:20:40:04 +0000,10.0.5.166,GET,/api/data,404,11817,Mozilla/5.0 (X11,legit,
03/Mar/2026:20:26:20 +0000,10.0.0.195,GET,/favicon.ico,200,4957,Mozilla/5.0 (X11,legit,
02/Mar/2026:15:50:34 +0000,10.0.5.166,GET,/api/reports,200,1909,Mozilla/5.0 (iPhone,legit,
03/Mar/2026:09:35:06 +0000,10.0.0.195,GET,/index.html,200,1441,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
08/Mar/2026:23:50:37 +0000,10.0.0.221,GET,/index.html,200,9879,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
03/Mar/2026:13:54:30 +0000,10.0.4.51,GET,/api/users,200,1004,Mozilla/5.0 (iPhone,legit,
10/Mar/2026:14:16:03 +0000,10.0.0.195,POST,/api/data,200,2481,Mozilla/5.0 (iPhone,legit,
14/Mar/2026:12:08:32 +0000,45.74.250.5,GET,/dashboard,403,195,Masscan/1.3,,
10/Mar/2026:12:11:13 +0000,10.0.2.253,GET,/login,301,7126,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
12/Mar/2026:03:02:08 +0000,10.0.1.234,POST,/index.html,200,6916,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:14:41:49 +0000,10.0.4.187,GET,/index.html,200,4441,Mozilla/5.0 (iPhone,legit,
13/Mar/2026:19:39:40 +0000,10.0.2.57,POST,/api/data,200,6872,Mozilla/5.0 (X11,legit,
04/Mar/2026:06:44:56 +0000,10.0.4.187,GET,/dashboard,200,6281,Mozilla/5.0 (X11,legit,
11/Mar/2026:21:28:19 +0000,10.0.2.254,GET,/index.html,200,10556,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
08/Mar/2026:21:47:48 +0000,10.0.5.190,GET,/index.html,200,14561,Mozilla/5.0 (Windows NT 10.0, x64) Chrome/120,legit
13/Mar/2026:03:15:21 +0000,10.0.5.27,GET,/api/data,200,940,Mozilla/5.0 (iPhone,legit,
